angle_deg, distance_cm
2.0, 23.0
5.0, 40.0
7.0, 23.0
10.0, 40.0
13.0, 25.0
15.0, 40.0
18.0, 25.0
21.0, 40.0
23.0, 40.0
26.0, 40.0
29.0, 40.0
31.0, 40.0
34.0, 40.0
36.0, 40.0
39.0, 40.0
42.0, 40.0
44.0, 40.0
47.0, 40.0
50.0, 40.0
52.0, 40.0
55.0, 40.0
58.0, 40.0
60.0, 16.0
63.0, 21.0
65.0, 16.0
68.0, 17.0
71.0, 16.0
73.0, 16.0
76.0, 17.0
79.0, 17.0
81.0, 17.0
84.0, 17.0
87.0, 18.0
89.0, 17.0
87.0, 18.0
85.0, 18.0
82.0, 19.0
79.0, 40.0
77.0, 40.0
74.0, 29.0
71.0, 24.0
69.0, 26.0
66.0, 40.0
63.0, 26.0
61.0, 25.0
58.0, 40.0
56.0, 28.0
53.0, 40.0
50.0, 27.0
48.0, 40.0
45.0, 40.0
42.0, 40.0
40.0, 40.0
37.0, 40.0
34.0, 40.0
32.0, 40.0
29.0, 26.0
27.0, 29.0
24.0, 40.0
21.0, 21.0
19.0, 23.0
16.0, 24.0
13.0, 25.0
11.0, 25.0
8.0, 40.0
5.0, 21.0
3.0, 23.0
0.0, 25.0
-1.0, 40.0
-4.0, 40.0
-7.0, 40.0
-9.0, 24.0
-12.0, 40.0
-15.0, 23.0
-17.0, 40.0
-20.0, 40.0
-23.0, 4.0
-25.0, 3.0
-28.0, 2.0
-30.0, 3.0
-33.0, 4.0
-36.0, 4.0
-38.0, 4.0
-41.0, 22.0
-44.0, 22.0
-46.0, 23.0
-49.0, 40.0
-52.0, 40.0
-54.0, 40.0
-57.0, 40.0
-59.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-62.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-63.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-64.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-66.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-67.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-68.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-69.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-70.0, 40.0
-71.0, 40.0
-71.0, 40.0
-71.0, 40.0
-71.0, 40.0
-71.0, 40.0
-71.0, 40.0
-71.0, 40.0
-71.0, 39.0
-71.0, 39.0
-71.0, 39.0
-71.0, 38.0
-71.0, 39.0
-71.0, 39.0
-71.0, 38.0
-71.0, 38.0
-71.0, 38.0
-71.0, 38.0
-71.0, 38.0
-72.0, 38.0
-72.0, 38.0
-72.0, 38.0
-72.0, 38.0
-72.0, 37.0
-72.0, 38.0
-72.0, 38.0
-72.0, 38.0
-72.0, 37.0
-72.0, 37.0
-72.0, 37.0
-72.0, 37.0
-72.0, 37.0
-72.0, 37.0
-72.0, 37.0
-72.0, 38.0
-72.0, 37.0
-72.0, 37.0
-73.0, 37.0
-73.0, 37.0
-73.0, 37.0
-73.0, 37.0
-73.0, 36.0
-73.0, 36.0
-73.0, 37.0
-73.0, 36.0
-73.0, 37.0
-73.0, 36.0
-73.0, 36.0
-73.0, 36.0
-73.0, 36.0
-73.0, 36.0
-73.0, 36.0
-74.0, 36.0
-74.0, 36.0
-74.0, 36.0
-74.0, 37.0
-74.0, 36.0
-74.0, 37.0
-74.0, 40.0
-74.0, 34.0
-74.0, 36.0
-74.0, 36.0
-74.0, 36.0
-74.0, 40.0
-74.0, 34.0
-74.0, 37.0
-74.0, 40.0
-74.0, 34.0
-74.0, 36.0
-74.0, 36.0
-74.0, 38.0
-74.0, 36.0
-74.0, 36.0
-74.0, 40.0
-75.0, 34.0
-75.0, 40.0
-75.0, 34.0
-75.0, 36.0
-75.0, 40.0
-75.0, 34.0
-75.0, 36.0
-75.0, 36.0
-75.0, 40.0
-75.0, 34.0
-75.0, 40.0
-75.0, 34.0
-75.0, 37.0
-75.0, 37.0
-75.0, 37.0
-75.0, 40.0
-75.0, 35.0
-75.0, 36.0
-75.0, 36.0
-75.0, 36.0
-75.0, 40.0
-76.0, 34.0
-76.0, 40.0
-76.0, 34.0
-76.0, 40.0
-76.0, 34.0
-76.0, 40.0
-76.0, 34.0
-76.0, 40.0
-76.0, 35.0
-76.0, 40.0
-76.0, 34.0
-76.0, 40.0
-77.0, 35.0
-77.0, 40.0
-77.0, 34.0
-77.0, 37.0
-77.0, 40.0
-77.0, 34.0
-77.0, 36.0
-77.0, 40.0
-77.0, 35.0
-77.0, 36.0
-77.0, 36.0
-77.0, 40.0
-77.0, 35.0
-77.0, 40.0
-78.0, 35.0
-78.0, 38.0
-78.0, 40.0
-78.0, 35.0
-78.0, 40.0
-78.0, 35.0
-78.0, 37.0
-78.0, 40.0
-78.0, 35.0
-78.0, 38.0
-78.0, 36.0
-78.0, 37.0
-78.0, 40.0
-78.0, 35.0
-78.0, 40.0
-78.0, 35.0
-78.0, 40.0
-79.0, 35.0
-79.0, 40.0
-79.0, 35.0
-79.0, 40.0
-79.0, 35.0
-79.0, 40.0
-79.0, 35.0
-79.0, 40.0
-79.0, 35.0
-79.0, 40.0
-79.0, 35.0
-79.0, 40.0
-80.0, 36.0
-80.0, 40.0
-80.0, 40.0
-80.0, 40.0
-80.0, 40.0
-80.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-86.0, 40.0
-86.0, 40.0
-86.0, 40.0
-86.0, 40.0
-86.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-90.0, 40.0
-89.0, 38.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-89.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-88.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-87.0, 40.0
-86.0, 40.0
-86.0, 40.0
-86.0, 40.0
-86.0, 40.0
-86.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-85.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-84.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-83.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-82.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 40.0
-81.0, 37.0
-81.0, 40.0
-80.0, 36.0
-80.0, 40.0
-80.0, 35.0
-80.0, 40.0
-80.0, 35.0
-80.0, 40.0
-80.0, 35.0
-80.0, 40.0
-80.0, 35.0
-80.0, 40.0
-79.0, 35.0
-79.0, 40.0
-79.0, 35.0
-79.0, 40.0
-79.0, 34.0
-79.0, 40.0
-79.0, 36.0
-79.0, 40.0
-79.0, 35.0
-79.0, 40.0
-79.0, 35.0
-79.0, 40.0
-78.0, 34.0
-78.0, 40.0
-78.0, 34.0
-78.0, 40.0
-78.0, 34.0
-78.0, 40.0
-78.0, 34.0
-78.0, 40.0
-78.0, 34.0
-78.0, 40.0
-78.0, 34.0
-78.0, 40.0
-77.0, 34.0
-77.0, 40.0
-77.0, 34.0
-77.0, 40.0
-77.0, 35.0
-77.0, 40.0
-77.0, 34.0
-77.0, 40.0
-77.0, 34.0
-77.0, 40.0
-76.0, 34.0
-76.0, 40.0
-76.0, 35.0
-76.0, 36.0
-76.0, 40.0
-76.0, 34.0
-76.0, 36.0
-76.0, 37.0
-76.0, 36.0
-76.0, 37.0
-76.0, 36.0
-76.0, 36.0
-76.0, 40.0
-76.0, 34.0
-76.0, 37.0
-76.0, 40.0
-76.0, 35.0
-76.0, 37.0
-76.0, 40.0
-75.0, 35.0
-75.0, 40.0
-75.0, 35.0
-75.0, 40.0
-75.0, 34.0
-75.0, 36.0
-75.0, 40.0
-75.0, 34.0
-75.0, 40.0
-75.0, 35.0
-75.0, 40.0
-75.0, 34.0
-75.0, 40.0
-74.0, 35.0
-74.0, 36.0
-74.0, 36.0
-74.0, 40.0
-74.0, 34.0
-74.0, 40.0
-74.0, 34.0
-74.0, 36.0
-74.0, 36.0
-74.0, 36.0
-74.0, 36.0
-74.0, 40.0
-74.0, 34.0
-74.0, 36.0
-74.0, 36.0
-74.0, 36.0
-74.0, 40.0
-74.0, 34.0
-74.0, 36.0
-74.0, 40.0
-74.0, 34.0
-74.0, 36.0
-74.0, 40.0
-73.0, 34.0
-73.0, 40.0
-73.0, 34.0
-73.0, 36.0
-73.0, 37.0
-73.0, 40.0
-73.0, 34.0
-73.0, 36.0
-73.0, 40.0
-73.0, 35.0
-73.0, 40.0
-73.0, 35.0
-73.0, 40.0
-72.0, 34.0
-72.0, 40.0
-72.0, 35.0
-72.0, 40.0
-72.0, 34.0
-72.0, 40.0
-72.0, 34.0
-72.0, 40.0
-72.0, 34.0
-72.0, 40.0
-72.0, 35.0
-72.0, 40.0
-71.0, 34.0
-71.0, 40.0
-71.0, 34.0
-71.0, 40.0
-71.0, 34.0
-71.0, 40.0
-71.0, 34.0
-71.0, 40.0
-71.0, 35.0
-71.0, 40.0
-71.0, 34.0
-71.0, 40.0
-70.0, 35.0
-70.0, 40.0
-70.0, 34.0
-70.0, 40.0
-70.0, 15.0
-70.0, 40.0
-70.0, 15.0
-70.0, 40.0
-70.0, 15.0
-70.0, 40.0
-69.0, 15.0
-69.0, 40.0
-69.0, 15.0
-69.0, 40.0
-69.0, 15.0
-69.0, 40.0
-69.0, 14.0
-69.0, 40.0
-69.0, 15.0
-69.0, 40.0
-69.0, 15.0
-69.0, 40.0
-68.0, 14.0
-68.0, 40.0
-68.0, 14.0
-68.0, 40.0
-68.0, 14.0
-68.0, 40.0
-68.0, 14.0
-68.0, 40.0
-68.0, 14.0
-68.0, 40.0
-68.0, 14.0
-68.0, 40.0
-67.0, 14.0
-67.0, 40.0
-67.0, 14.0
-67.0, 40.0
-67.0, 15.0
-67.0, 40.0
-67.0, 14.0
-67.0, 40.0
-67.0, 14.0
-67.0, 40.0
-66.0, 14.0
-66.0, 40.0
-66.0, 40.0
-66.0, 16.0
-66.0, 34.0
-66.0, 34.0
-66.0, 34.0
-66.0, 35.0
-66.0, 35.0
-66.0, 34.0
-66.0, 34.0
-66.0, 35.0
-66.0, 35.0
-66.0, 35.0
-66.0, 35.0
-66.0, 36.0
-66.0, 35.0
-66.0, 35.0
-66.0, 40.0
-65.0, 36.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 35.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
-65.0, 40.0
